iter	Passed	Remaining
300	59717	138679
301	59882	138402
302	60063	138166
303	60216	137864
304	60377	137580
305	60541	137306
306	60717	137060
307	60875	136772
308	61051	136526
309	61212	136247
310	61385	135995
311	61538	135700
312	61701	135426
313	61865	135159
314	62051	134936
315	62201	134638
316	62358	134357
317	62513	134070
318	62673	133796
319	62829	133513
320	63003	133268
321	63155	132980
322	63311	132700
323	63466	132418
324	63629	132153
325	63782	131869
326	63950	131617
327	64099	131325
328	64257	131053
329	64410	130773
330	64572	130509
331	64724	130228
332	64882	129960
333	65047	129705
334	65205	129437
335	65355	129155
336	65514	128890
337	65723	128724
338	65894	128485
339	66073	128259
340	66236	128005
341	66413	127777
342	66585	127540
343	66745	127283
344	66904	127021
345	67066	126767
346	67221	126499
347	67383	126246
348	67537	125979
349	67697	125724
350	67853	125460
351	68023	125224
352	68173	124952
353	68328	124689
354	68501	124460
355	68669	124221
356	68826	123965
357	68995	123729
358	69152	123473
359	69312	123222
360	69467	122962
361	69627	122713
362	69784	122458
363	69955	122230
364	70112	121976
365	70275	121734
366	70434	121484
367	70614	121272
368	70844	121146
369	71061	120996
370	71225	120757
371	71390	120519
372	71555	120282
373	71723	120049
374	71881	119802
375	72052	119577
376	72201	119314
377	72360	119069
378	72520	118825
379	72685	118591
380	72839	118340
381	73014	118123
382	73171	117876
383	73335	117642
384	73489	117392
385	73648	117150
386	73812	116917
387	73983	116696
388	74133	116441
389	74290	116198
390	74451	115960
391	74615	115729
392	74768	115482
393	74936	115257
394	75094	115018
395	75258	114788
396	75411	114541
397	75574	114310
